epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,256.638,0.40019,6.60886,2.09498,0.49735,0.7485,0.56358,0.36694,0.45856,12.3475,2.33139,0.000990365,0.000990365,0.000990365
84,259.702,0.38115,6.61739,2.0757,0.46633,0.70888,0.54617,0.36029,0.47694,14.1674,2.34738,0.000982113,0.000982113,0.000982113
85,262.73,0.40151,6.68614,2.11152,0.51118,0.63085,0.54493,0.36286,0.45766,13.0893,2.29621,0.000973861,0.000973861,0.000973861
86,265.741,0.3914,6.72882,2.10139,0.5301,0.56963,0.54025,0.37678,0.42142,13.4004,2.2148,0.00096561,0.00096561,0.00096561
87,268.735,0.37576,6.85073,2.06928,0.48811,0.69658,0.59965,0.4273,0.42098,11.6319,2.22253,0.000957358,0.000957358,0.000957358
88,271.772,0.39264,6.50625,2.09899,0.44865,0.78361,0.53726,0.36908,0.43366,13.6622,2.23182,0.000949106,0.000949106,0.000949106
89,274.782,0.38853,6.68783,2.08,0.4757,0.7485,0.53671,0.37929,0.45278,13.0752,2.29648,0.000940855,0.000940855,0.000940855
90,277.807,0.3901,6.96141,2.10052,0.47596,0.79382,0.6014,0.41623,0.43216,10.5048,2.20457,0.000932603,0.000932603,0.000932603
91,280.92,0.37425,6.75635,2.08129,0.58697,0.64346,0.64916,0.43509,0.44798,10.8126,2.22776,0.000924352,0.000924352,0.000924352
92,283.944,0.39426,6.14481,2.07068,0.50284,0.78077,0.61404,0.42389,0.42452,12.8405,2.17118,0.0009161,0.0009161,0.0009161
93,286.99,0.36855,6.08202,2.03311,0.49903,0.71459,0.57062,0.38845,0.41614,13.4183,2.12535,0.000907848,0.000907848,0.000907848
94,290.059,0.38386,6.11175,2.06063,0.51193,0.74007,0.56201,0.38133,0.43677,12.1959,2.21632,0.000899597,0.000899597,0.000899597
95,293.055,0.3769,6.07326,2.03382,0.57617,0.66899,0.62277,0.427,0.42903,11.6469,2.22,0.000891345,0.000891345,0.000891345
96,296.113,0.36783,5.91839,2.01334,0.47789,0.75044,0.55718,0.37702,0.43555,13.6232,2.22391,0.000883093,0.000883093,0.000883093
97,299.164,0.36801,6.13104,2.03388,0.52386,0.77775,0.59251,0.40384,0.44803,12.1872,2.2637,0.000874842,0.000874842,0.000874842
98,302.211,0.37334,5.48764,2.02153,0.60204,0.72839,0.65742,0.46265,0.41431,11.7094,2.16919,0.00086659,0.00086659,0.00086659
99,305.373,0.38576,6.16529,2.05971,0.607,0.61705,0.59742,0.4301,0.40455,12.0377,2.11612,0.000858338,0.000858338,0.000858338
100,308.419,0.39288,6.48133,2.06141,0.5336,0.68288,0.55694,0.38258,0.41661,13.3832,2.16592,0.000850087,0.000850087,0.000850087
101,311.448,0.37402,6.12924,2.0274,0.51438,0.65386,0.56054,0.37562,0.43415,13.9246,2.21313,0.000841835,0.000841835,0.000841835
102,314.471,0.38892,6.23863,2.07212,0.50717,0.64628,0.52762,0.35763,0.43397,12.5617,2.26869,0.000833583,0.000833583,0.000833583
103,317.527,0.36485,5.7514,2.02468,0.56253,0.67358,0.61227,0.41326,0.42803,12.2049,2.27166,0.000825332,0.000825332,0.000825332
104,320.612,0.36976,6.03991,2.05235,0.474,0.72029,0.52477,0.34395,0.46937,14.1382,2.35795,0.00081708,0.00081708,0.00081708
105,323.672,0.34631,6.07015,2.01422,0.58984,0.73289,0.64006,0.44295,0.42638,11.6291,2.21858,0.000808828,0.000808828,0.000808828
106,326.721,0.36434,5.92698,2.03179,0.57458,0.66052,0.60897,0.42886,0.44084,12.0295,2.21912,0.000800577,0.000800577,0.000800577
107,329.79,0.36937,6.12085,2.05338,0.5383,0.70108,0.58786,0.40371,0.43655,11.4319,2.25989,0.000792325,0.000792325,0.000792325
108,332.855,0.38393,5.93912,2.05262,0.46805,0.74461,0.51333,0.33689,0.44434,14.0657,2.30271,0.000784073,0.000784073,0.000784073
109,335.908,0.3669,5.91113,2.03727,0.48196,0.7479,0.55339,0.36808,0.44607,12.8703,2.26464,0.000775822,0.000775822,0.000775822
110,338.991,0.36846,5.84956,2.01168,0.54427,0.64346,0.51435,0.35276,0.45932,14.4155,2.27993,0.00076757,0.00076757,0.00076757
111,342.035,0.37433,6.19939,2.04041,0.57191,0.74475,0.61752,0.43189,0.41783,10.5559,2.18193,0.000759318,0.000759318,0.000759318
112,345.092,0.36239,5.69932,2.01159,0.64646,0.64237,0.63376,0.449,0.43305,11.5969,2.27494,0.000751067,0.000751067,0.000751067
113,348.159,0.36157,5.84754,1.99552,0.57285,0.65006,0.58464,0.38283,0.44635,13.0509,2.25932,0.000742815,0.000742815,0.000742815
114,351.208,0.36773,6.31925,1.9949,0.58784,0.67287,0.64832,0.44777,0.42155,11.7235,2.18786,0.000734564,0.000734564,0.000734564
115,354.273,0.3707,6.16731,2.00252,0.5724,0.65523,0.65854,0.46093,0.44271,10.4791,2.3298,0.000726312,0.000726312,0.000726312
116,357.33,0.35038,5.60184,1.99923,0.57619,0.72632,0.60334,0.42444,0.43,11.7094,2.27001,0.00071806,0.00071806,0.00071806
117,360.385,0.36477,5.66709,2.02272,0.5255,0.76546,0.59844,0.41339,0.39636,11.7843,2.19238,0.000709809,0.000709809,0.000709809
118,363.481,0.35527,5.36779,2.02984,0.53548,0.7407,0.62798,0.44359,0.40437,11.9657,2.21895,0.000701557,0.000701557,0.000701557
119,366.513,0.35,5.35745,1.96898,0.59813,0.69733,0.67521,0.49769,0.39846,11.8953,2.19576,0.000693305,0.000693305,0.000693305
120,369.707,0.35368,5.57461,2.00252,0.58809,0.66146,0.57201,0.42057,0.43376,13.0478,2.19135,0.000685054,0.000685054,0.000685054
121,372.738,0.35766,5.62868,2.00005,0.51525,0.74047,0.58651,0.41222,0.42255,13.9756,2.19077,0.000676802,0.000676802,0.000676802
122,375.775,0.38934,6.13575,2.07591,0.56275,0.71909,0.64725,0.45228,0.41792,11.2646,2.17465,0.00066855,0.00066855,0.00066855
123,378.786,0.35307,5.43116,1.95857,0.53393,0.78843,0.66848,0.47631,0.4154,11.8228,2.13336,0.000660299,0.000660299,0.000660299
124,381.805,0.35707,5.75313,1.98537,0.55823,0.67145,0.66938,0.47038,0.39243,10.8176,2.11001,0.000652047,0.000652047,0.000652047
125,384.867,0.34857,5.66393,1.99464,0.57401,0.68953,0.65698,0.46342,0.39976,11.461,2.14243,0.000643795,0.000643795,0.000643795
126,387.958,0.34123,5.22434,1.96653,0.52947,0.69355,0.60874,0.43475,0.42192,12.1719,2.21185,0.000635544,0.000635544,0.000635544
127,390.995,0.34803,5.48514,2.0059,0.56776,0.70108,0.6341,0.45917,0.41418,11.5667,2.26542,0.000627292,0.000627292,0.000627292
128,394.078,0.35289,5.46208,2.00303,0.50739,0.77979,0.60617,0.41457,0.43242,13.779,2.29575,0.00061904,0.00061904,0.00061904
129,397.155,0.34598,5.19027,1.98499,0.52617,0.71008,0.64893,0.44726,0.42385,13.1304,2.29301,0.000610789,0.000610789,0.000610789
130,400.21,0.36024,5.67494,2.03234,0.5562,0.69841,0.66975,0.48211,0.42625,11.7513,2.30529,0.000602537,0.000602537,0.000602537
131,403.276,0.3355,5.31399,1.96414,0.55358,0.73499,0.62834,0.45337,0.41634,11.0334,2.26038,0.000594286,0.000594286,0.000594286
132,406.335,0.33538,5.15217,1.95385,0.66367,0.64106,0.63661,0.44074,0.41182,10.836,2.24678,0.000586034,0.000586034,0.000586034
133,409.38,0.34059,5.22244,1.96686,0.58216,0.6304,0.6277,0.45196,0.39446,11.2886,2.17388,0.000577782,0.000577782,0.000577782
134,412.457,0.34668,5.62886,1.97402,0.52518,0.6886,0.63942,0.45782,0.41138,11.6426,2.16773,0.000569531,0.000569531,0.000569531
135,415.512,0.365,5.38691,1.99883,0.66065,0.60594,0.6642,0.47866,0.41389,10.6791,2.22909,0.000561279,0.000561279,0.000561279
136,418.576,0.32746,5.2164,1.92707,0.53993,0.72125,0.59478,0.42573,0.40868,12.2417,2.26976,0.000553027,0.000553027,0.000553027
137,421.641,0.32645,5.12897,1.96916,0.52507,0.64559,0.55324,0.38995,0.42582,14.2518,2.29284,0.000544776,0.000544776,0.000544776
138,424.683,0.33483,5.06284,1.93728,0.49141,0.68968,0.52916,0.37356,0.42911,15.58,2.2594,0.000536524,0.000536524,0.000536524
139,427.753,0.31643,4.72738,1.91781,0.57387,0.65816,0.61246,0.43946,0.41057,12.1235,2.24082,0.000528272,0.000528272,0.000528272
140,430.817,0.33459,4.90681,1.94421,0.47187,0.70644,0.53364,0.36176,0.43844,16.1059,2.24722,0.000520021,0.000520021,0.000520021
141,433.866,0.32321,5.24758,1.92489,0.50071,0.71909,0.55713,0.37914,0.4436,14.1922,2.3324,0.000511769,0.000511769,0.000511769
142,436.942,0.32921,4.9801,1.96537,0.54877,0.69208,0.60739,0.41467,0.42802,11.7729,2.34063,0.000503517,0.000503517,0.000503517
143,439.971,0.32937,5.15816,1.98097,0.56702,0.66093,0.58249,0.40122,0.45932,13.5505,2.32858,0.000495266,0.000495266,0.000495266
144,443.048,0.32712,5.08045,1.91913,0.48394,0.70678,0.55028,0.38941,0.44069,13.0626,2.34605,0.000487014,0.000487014,0.000487014
145,446.125,0.33842,5.20088,1.97307,0.58405,0.59994,0.59234,0.44182,0.42373,11.8582,2.25189,0.000478762,0.000478762,0.000478762
146,449.18,0.32154,4.72397,1.89966,0.52761,0.69953,0.61093,0.44257,0.42652,11.4713,2.23748,0.000470511,0.000470511,0.000470511
147,452.26,0.33148,5.09285,1.93758,0.63565,0.62635,0.63005,0.45704,0.42223,11.1743,2.22974,0.000462259,0.000462259,0.000462259
148,455.323,0.34181,4.89706,1.96064,0.55868,0.65797,0.61078,0.44243,0.40748,12.6498,2.1768,0.000454007,0.000454007,0.000454007
149,458.37,0.31524,4.81426,1.92205,0.55568,0.60428,0.59861,0.42072,0.42918,14.7752,2.20674,0.000445756,0.000445756,0.000445756
150,461.436,0.31969,5.03905,1.92166,0.56929,0.63925,0.6119,0.42498,0.41413,14.2987,2.16346,0.000437504,0.000437504,0.000437504
151,464.505,0.32471,4.82891,1.92761,0.55373,0.66146,0.64026,0.46849,0.39708,12.1638,2.11566,0.000429253,0.000429253,0.000429253
152,467.562,0.32347,4.63498,1.92519,0.64603,0.60144,0.67136,0.49803,0.397,11.3955,2.13859,0.000421001,0.000421001,0.000421001
153,470.637,0.31691,4.78835,1.92829,0.53459,0.78031,0.62771,0.44506,0.43237,12.1436,2.23088,0.000412749,0.000412749,0.000412749
154,473.688,0.33133,4.9482,1.93595,0.55085,0.67175,0.5683,0.39825,0.43504,13.9065,2.22559,0.000404498,0.000404498,0.000404498
155,476.749,0.32579,4.83195,1.94072,0.57858,0.65566,0.64299,0.4595,0.41893,11.8861,2.21421,0.000396246,0.000396246,0.000396246
156,479.82,0.32286,4.54369,1.92236,0.67678,0.60692,0.64012,0.46622,0.40491,11.2485,2.1506,0.000387994,0.000387994,0.000387994
157,482.877,0.31798,5.08886,1.9136,0.59596,0.67617,0.65052,0.45785,0.40122,10.8047,2.14823,0.000379743,0.000379743,0.000379743
158,485.939,0.32076,4.63573,1.91903,0.53927,0.68187,0.60799,0.44255,0.40463,11.719,2.19767,0.000371491,0.000371491,0.000371491
159,488.997,0.32208,4.73216,1.91418,0.50859,0.66146,0.58485,0.42563,0.41403,12.197,2.23445,0.000363239,0.000363239,0.000363239
160,492.063,0.32534,4.61837,1.92788,0.62536,0.61164,0.60315,0.44574,0.40019,12.0673,2.22726,0.000354988,0.000354988,0.000354988
161,495.136,0.32262,4.71785,1.91431,0.58294,0.68187,0.61823,0.45974,0.39316,11.2938,2.21146,0.000346736,0.000346736,0.000346736
162,498.196,0.31332,4.80372,1.91988,0.60325,0.66072,0.64038,0.47008,0.40869,11.5295,2.22812,0.000338484,0.000338484,0.000338484
163,501.246,0.31744,4.7579,1.90286,0.54008,0.70582,0.64986,0.4834,0.40278,11.4977,2.21637,0.000330233,0.000330233,0.000330233
164,504.31,0.30697,4.53731,1.88642,0.56227,0.72475,0.60682,0.42973,0.40282,12.6587,2.23065,0.000321981,0.000321981,0.000321981
165,507.363,0.31112,4.61554,1.89668,0.54312,0.7407,0.57613,0.39947,0.4067,13.686,2.22926,0.000313729,0.000313729,0.000313729
166,510.424,0.31435,4.48203,1.92875,0.57872,0.72149,0.60938,0.42336,0.40966,12.9906,2.23546,0.000305478,0.000305478,0.000305478
167,513.479,0.31413,4.5723,1.93123,0.53764,0.72599,0.6067,0.43878,0.40637,12.9714,2.21077,0.000297226,0.000297226,0.000297226
168,516.532,0.30016,4.49204,1.88977,0.50128,0.767,0.60446,0.43462,0.40898,12.3956,2.21275,0.000288974,0.000288974,0.000288974
169,519.604,0.29266,4.24049,1.8746,0.50741,0.7497,0.625,0.45403,0.41028,12.2428,2.22836,0.000280723,0.000280723,0.000280723
170,522.666,0.30866,4.31335,1.8757,0.5311,0.78481,0.63411,0.46121,0.41241,12.5237,2.20489,0.000272471,0.000272471,0.000272471
171,525.729,0.31137,4.43021,1.91168,0.52809,0.75276,0.59716,0.42857,0.40667,13.4529,2.20616,0.00026422,0.00026422,0.00026422
172,528.799,0.3086,4.64383,1.90672,0.53641,0.75882,0.59135,0.41868,0.42147,14.199,2.26205,0.000255968,0.000255968,0.000255968
173,531.842,0.30603,4.4637,1.91473,0.58389,0.67617,0.61863,0.44649,0.41555,12.5293,2.22654,0.000247716,0.000247716,0.000247716
174,534.905,0.31114,4.84329,1.91475,0.58624,0.6682,0.62887,0.45159,0.42122,12.3833,2.2505,0.000239465,0.000239465,0.000239465
175,537.954,0.3162,4.42416,1.92193,0.58764,0.65496,0.6317,0.46036,0.41559,12.7161,2.20013,0.000231213,0.000231213,0.000231213
176,541.028,0.29812,4.41615,1.90801,0.48865,0.75245,0.60282,0.44823,0.42021,13.4771,2.20759,0.000222961,0.000222961,0.000222961
177,544.091,0.31846,4.53962,1.9089,0.48755,0.71008,0.6033,0.43477,0.42205,13.8264,2.23748,0.00021471,0.00021471,0.00021471
178,547.181,0.30862,4.58428,1.88053,0.50887,0.68637,0.59067,0.4299,0.41219,13.2823,2.21233,0.000206458,0.000206458,0.000206458
179,550.267,0.30484,4.1917,1.87029,0.55542,0.69648,0.61565,0.45079,0.40496,13.127,2.19002,0.000198206,0.000198206,0.000198206
180,553.326,0.29892,4.34763,1.86828,0.53742,0.70843,0.60453,0.44041,0.4212,13.8992,2.23645,0.000189955,0.000189955,0.000189955
181,556.395,0.30031,4.29849,1.89696,0.59568,0.69655,0.64273,0.46998,0.41755,12.588,2.2197,0.000181703,0.000181703,0.000181703
182,559.393,0.29943,4.32998,1.89908,0.60419,0.67365,0.63659,0.47374,0.40289,12.3072,2.18713,0.000173451,0.000173451,0.000173451
183,562.44,0.29832,4.34436,1.8928,0.63322,0.6593,0.65535,0.48543,0.39528,11.9085,2.17863,0.0001652,0.0001652,0.0001652
184,565.493,0.29801,4.24477,1.86329,0.66068,0.657,0.66765,0.49421,0.39642,11.9052,2.16184,0.000156948,0.000156948,0.000156948
185,568.545,0.29506,4.23871,1.87552,0.66262,0.63986,0.65545,0.48881,0.40531,11.9953,2.18378,0.000148696,0.000148696,0.000148696
