epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,213.418,0.40836,6.75489,2.08397,0.66354,0.80347,0.83135,0.53927,0.38526,10.3315,2.16701,0.00107288,0.00107288,0.00107288
74,216.308,0.3979,6.20223,2.0646,0.69175,0.67901,0.73856,0.44928,0.41844,20.175,2.31988,0.00106463,0.00106463,0.00106463
75,219.138,0.3994,6.01831,2.11048,0.71552,0.59001,0.71878,0.47406,0.38516,20.4519,2.17553,0.00105638,0.00105638,0.00105638
76,221.999,0.42033,6.81367,2.16622,0.67293,0.60965,0.72834,0.53543,0.3572,18.792,2.08331,0.00104813,0.00104813,0.00104813
77,224.835,0.41005,6.54285,2.12163,0.7047,0.54321,0.65417,0.45291,0.39959,17.9909,2.18733,0.00103987,0.00103987,0.00103987
78,227.688,0.39223,6.35814,2.07627,0.77045,0.76543,0.81012,0.56892,0.38159,9.6079,2.15827,0.00103162,0.00103162,0.00103162
79,230.557,0.40159,6.00849,2.10765,0.69962,0.45679,0.68867,0.47486,0.38363,21.2195,2.13434,0.00102337,0.00102337,0.00102337
80,233.409,0.42406,6.9713,2.18016,0.80867,0.83493,0.90289,0.61323,0.39754,7.75792,2.2593,0.00101512,0.00101512,0.00101512
81,236.419,0.40342,6.28194,2.06753,0.71825,0.69241,0.82589,0.57067,0.36855,12.9132,2.15931,0.00100687,0.00100687,0.00100687
82,239.333,0.4123,6.33902,2.13015,0.84039,0.7037,0.82704,0.58394,0.3663,12.2489,2.11928,0.000998616,0.000998616,0.000998616
83,242.206,0.40258,5.94947,2.11497,0.74608,0.76182,0.81712,0.54406,0.42922,14.4346,2.27009,0.000990365,0.000990365,0.000990365
84,245.049,0.39895,5.92384,2.08881,0.75288,0.66667,0.79811,0.5484,0.45821,15.2393,2.34889,0.000982113,0.000982113,0.000982113
85,247.922,0.38589,5.77957,2.07393,0.79772,0.5679,0.71652,0.5039,0.41725,18.7472,2.27571,0.000973861,0.000973861,0.000973861
86,250.762,0.38846,5.63062,2.06977,0.82202,0.51852,0.66682,0.42746,0.42371,15.6333,2.29918,0.00096561,0.00096561,0.00096561
