epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,177.612,0.4765,9.73097,2.2849,0.37225,0.62846,0.36116,0.24371,0.59199,15.1875,2.61043,0.00113064,0.00113064,0.00113064
67,180.242,0.46865,10.8309,2.30103,0.32002,0.6088,0.3366,0.22906,0.59959,17.315,2.50717,0.00112239,0.00112239,0.00112239
68,182.931,0.45478,9.42166,2.18939,0.43123,0.4052,0.33135,0.22012,0.5704,16.3751,2.56005,0.00111414,0.00111414,0.00111414
69,185.566,0.44701,9.65149,2.19082,0.34346,0.56039,0.32179,0.2009,0.57568,19.596,2.63105,0.00110589,0.00110589,0.00110589
70,188.2,0.43807,9.11864,2.19771,0.3923,0.49136,0.3614,0.22452,0.62835,16.3744,2.65087,0.00109764,0.00109764,0.00109764
71,190.831,0.43967,8.49372,2.2263,0.37533,0.49561,0.38785,0.23878,0.62119,17.1878,2.70987,0.00108938,0.00108938,0.00108938
72,193.489,0.4787,9.11448,2.25631,0.37381,0.72807,0.43149,0.28312,0.53506,15.3178,2.56743,0.00108113,0.00108113,0.00108113
73,196.121,0.45235,8.82395,2.24466,0.3486,0.61269,0.39027,0.23725,0.59619,16.3021,2.65523,0.00107288,0.00107288,0.00107288
74,198.749,0.42678,8.56398,2.16761,0.348,0.60121,0.41255,0.26594,0.59026,18.1,2.63947,0.00106463,0.00106463,0.00106463
75,201.42,0.43981,8.57789,2.20059,0.4491,0.58671,0.50587,0.34888,0.5467,15.7674,2.52684,0.00105638,0.00105638,0.00105638
76,204.183,0.42742,7.88222,2.14072,0.35641,0.7354,0.40629,0.27656,0.57,15.2441,2.47227,0.00104813,0.00104813,0.00104813
77,206.825,0.44138,8.20631,2.21706,0.53622,0.49222,0.46231,0.32048,0.5572,16.24,2.37532,0.00103987,0.00103987,0.00103987
78,209.447,0.44248,9.20049,2.18026,0.37112,0.61202,0.39888,0.25868,0.61747,18.4875,2.64566,0.00103162,0.00103162,0.00103162
79,212.083,0.42708,8.80747,2.15714,0.38534,0.7603,0.40365,0.26178,0.61642,18.2928,2.562,0.00102337,0.00102337,0.00102337
80,214.737,0.46502,8.78286,2.21161,0.35241,0.66363,0.38075,0.23838,0.6329,17.5895,2.63318,0.00101512,0.00101512,0.00101512
81,217.38,0.43577,8.67068,2.17489,0.38912,0.54731,0.37857,0.23892,0.60434,17.5307,2.51616,0.00100687,0.00100687,0.00100687
82,220.008,0.41433,7.9278,2.15307,0.48598,0.50316,0.43094,0.28806,0.60055,17.9792,2.54365,0.000998616,0.000998616,0.000998616
83,222.655,0.45624,8.01196,2.18453,0.51181,0.54757,0.46287,0.2921,0.62834,16.9707,2.67827,0.000990365,0.000990365,0.000990365
84,225.284,0.40907,7.67911,2.13519,0.36637,0.64105,0.43144,0.27931,0.59508,21.8135,2.62639,0.000982113,0.000982113,0.000982113
85,227.91,0.43802,8.19183,2.17295,0.49174,0.54757,0.44875,0.29586,0.57732,18.8545,2.55167,0.000973861,0.000973861,0.000973861
86,230.54,0.4236,7.79889,2.17062,0.42019,0.51204,0.39108,0.24567,0.66535,18.1485,2.89422,0.00096561,0.00096561,0.00096561
